,open,high,low,close,volume,value
2024-07-27 15:00:00,94795000.0,94870000.0,94795000.0,94870000.0,6.74875069,640123281.41699
2024-07-27 15:05:00,94868000.0,94870000.0,94800000.0,94818000.0,5.41901616,514027843.23706
2024-07-27 15:10:00,94818000.0,94818000.0,94770000.0,94799000.0,4.65197006,440999358.72656
2024-07-27 15:15:00,94790000.0,94818000.0,94775000.0,94815000.0,3.35001019,317610680.30116
2024-07-27 15:20:00,94815000.0,94864000.0,94802000.0,94864000.0,7.46663918,707992780.29266
2024-07-27 15:25:00,94864000.0,94880000.0,94843000.0,94879000.0,3.90979564,370911493.78445
2024-07-27 15:30:00,94850000.0,94880000.0,94827000.0,94869000.0,5.22311884,495501460.32384
2024-07-27 15:35:00,94870000.0,94874000.0,94832000.0,94869000.0,2.05399077,194819746.11208
2024-07-27 15:40:00,94869000.0,94897000.0,94827000.0,94897000.0,7.44743093,706545843.49669
2024-07-27 15:45:00,94896000.0,94981000.0,94895000.0,94981000.0,9.02277938,856549237.30483
2024-07-27 15:50:00,94982000.0,94995000.0,94981000.0,94983000.0,8.69384801,825788950.93587
2024-07-27 15:55:00,94983000.0,94983000.0,94960000.0,94961000.0,6.93625415,658777448.49465
2024-07-27 16:00:00,94980000.0,94996000.0,94961000.0,94993000.0,20.28025318,1926329279.74053
2024-07-27 16:05:00,94993000.0,95130000.0,94992000.0,95130000.0,65.51463523,6225101978.15304
2024-07-27 16:10:00,95130000.0,95230000.0,95029000.0,95076000.0,26.22722944,2495962988.91617
2024-07-27 16:15:00,95076000.0,95095000.0,94979000.0,94979000.0,10.69837501,1016806916.0427
2024-07-27 16:20:00,95000000.0,95076000.0,94940000.0,95076000.0,13.36644594,1269645517.02777
2024-07-27 16:25:00,95076000.0,95292000.0,95075000.0,95251000.0,23.35241036,2223417307.41782
2024-07-27 16:30:00,95250000.0,95282000.0,95179000.0,95217000.0,13.08585521,1246174365.02881
2024-07-27 16:35:00,95217000.0,95275000.0,95215000.0,95270000.0,9.25732688,881812382.63838
2024-07-27 16:40:00,95270000.0,95270000.0,95160000.0,95255000.0,11.85149709,1128752546.33124
2024-07-27 16:45:00,95255000.0,95257000.0,95121000.0,95201000.0,13.72883295,1306641470.94698
2024-07-27 16:50:00,95202000.0,95209000.0,95134000.0,95143000.0,8.00411511,761837561.92901
2024-07-27 16:55:00,95143000.0,95143000.0,95070000.0,95079000.0,11.01654069,1047817404.77925
2024-07-27 17:00:00,95070000.0,95200000.0,95009000.0,95199000.0,14.36372445,1366583877.18196
2024-07-27 17:05:00,95199000.0,95219000.0,95139000.0,95207000.0,10.82047322,1029952299.26475
2024-07-27 17:10:00,95193000.0,95193000.0,95140000.0,95169000.0,4.58192046,435991260.27775
2024-07-27 17:15:00,95165000.0,95175000.0,95144000.0,95173000.0,9.60683423,914111784.33994
